Tier,Sponsor,File
Major,Aspen,Major/Aspen.png
Major,Bennett Painting & Decorating,Major/Bennett_Painting_&_Decorating.png
Major,Cornucopia Hotel,Major/Cornucopia_Hotel.jpg
Major,DDs Air Conditioning & Hygiene Services,Major/DDs_Air_Conditioning_&_Hygiene_Services.jpg
Major,Hallett Group,Major/Hallett_Group.png
Major,Leanic Civil Mining & Construction,Major/Leanic_Civil_Mining_&_Construction.png
Major,Murray Pest Control YP,Major/Murray_Pest_Control_YP.png
Major,PSD Pirie Signs & Designs,Major/PSD_Pirie_Signs_&_Designs.jpg
Major,Subway,Major/Subway.png
Major,T-Ports,Major/T-Ports.png
Major,TR Depledge Gardening & Maintenance,Major/TR_Depledge_Gardening_&_Maintenance.png
Major,Wallaroo Holiday Park,Major/Wallaroo_Holiday_Park.png
Major,Yorke Peninsula Marine,Major/Yorke_Peninsula_Marine.png
Major,YP Shade Solutions,Major/YP_Shade_Solutions.jpg
Gold,All Creeks,Gold/All_Creeks.png
Gold,Anglers Inn,Gold/Anglers_Inn.png
Gold,BHS Rep-Eng,Gold/BHS_Rep-Eng.png
Gold,Cade Angus Plumbing & Gas,Gold/Cade_Angus_Plumbing_&_Gas.png
Gold,Copper Club Dunes Port Hughes,Gold/Copper_Club_Dunes_Port_Hughes.png
Gold,Fence It YP,Gold/Fence_It_YP.png
Gold,Forty Winks,Gold/Forty_Winks.png
Gold,Get Laid Flooring Yorke Peninsula,Gold/Get_Laid_Flooring_Yorke_Peninsula.jpg
Gold,Guns N Buns,Gold/Guns_N_Buns.png
Gold,Maritime Constructions,Gold/Maritime_Constructions.png
Gold,Poona Crushing and Gravel,Gold/Poona_Crushing_and_Gravel.png
Gold,Real Estate On Yorke,Gold/Real_Estate_On_Yorke.png
Gold,Robust Worx,Gold/Robust_Worx.png
Gold,SportsPower,Gold/SportsPower.png
Gold,St Mary MacKillop School,Gold/St_Mary_MacKillop_School.png
Gold,Wallaroo Metal Fabricators,Gold/Wallaroo_Metal_Fabricators.png
Gold,Weeroona Hotel,Gold/Weeroona_Hotel.png
Gold,YP Linen Services,Gold/YP_Linen_Services.png
Gold,YP Mini Diggers,Gold/YP_Mini_Diggers.png
Silver,Best Pizza,Silver/Best_Pizza.png
Silver,Copper Coast Dental Wallaroo,Silver/Copper_Coast_Dental_Wallaroo.png
Silver,Drakes,Silver/Drakes.png
Silver,Electrical NRG Solutions,Silver/Electrical_NRG_Solutions.png
Silver,Fletcher Family,Silver/Fletcher_Family.png
Silver,Jeff White Mechanical,Silver/Jeff_White_Mechanical.png
Silver,Kurlben Painting,Silver/Kurlben_Painting.png
Silver,NYP Car Fix,Silver/NYP_Car_Fix.png
Silver,Peninsula Toyota,Silver/Peninsula_Toyota.png
Silver,Prince Edward Hotel,Silver/Prince_Edward_Hotel.png
Silver,The Shores Eatery,Silver/The_Shores_Eatery.png
Silver,Wallaroo Beachfront Tourist Park,Silver/Wallaroo_Beachfront_Tourist_Park.png
Silver,Wardle Co Real Estate,Silver/Wardle_Co_Real_Estate.png
Silver,West Line Excavations,Silver/West_Line_Excavations.png
Bronze,Abraham Air Conditioning & Refrigeration,Bronze/Abraham_Air_Conditioning_&_Refrigeration.png
Bronze,Barossa Mitre 10,Bronze/Barossa_Mitre_10.png
Bronze,Burfitt Concrete,Bronze/Burfitt_Concrete.png
Bronze,Copper Coast Funerals,Bronze/Copper_Coast_Funerals.png
Bronze,Copper Coast Gas Supplies,Bronze/Copper_Coast_Gas_Supplies.png
Bronze,Country Living Homes,Bronze/Country_Living_Homes.png
Bronze,Crafers Garden Centre,Bronze/Crafers_Garden_Centre.png
Bronze,Dunlop Kadina Tyres & Auto,Bronze/Dunlop_Kadina_Tyres_&_Auto.png
Bronze,Elders Insurance,Bronze/Elders_Insurance.png
Bronze,Electrical Merchandising,Bronze/Electrical_Merchandising.png
Bronze,Emmetts,Bronze/Emmetts.png
Bronze,Enfield Furnishers,Bronze/Enfield_Furnishers.png
Bronze,Format Concrete Pumping,Bronze/Format_Concrete_Pumping.png
Bronze,Jacks Septic Services,Bronze/Jacks_Septic_Services.png
Bronze,Kadina Aluminium Products,Bronze/Kadina_Aluminium_Products.png
Bronze,Kadina Retravision,Bronze/Kadina_Retravision.png
Bronze,Keepin it Clean,Bronze/Keepin_it_Clean.png
Bronze,KP Lawyers,Bronze/KP_Lawyers.png
Bronze,Larwoods Ag Services,Bronze/Larwoods_Ag_Services.png
Bronze,Loc It Self Storage,Bronze/Loc_It_Self_Storage.png
Bronze,MA Skinner Earthmoving,Bronze/MA_Skinner_Earthmoving.png
Bronze,MEC,Bronze/MEC.png
Bronze,Microsystems Support,Bronze/Microsystems_Support.png
Bronze,Nutrien Ag Solutions,Bronze/Nutrien_Ag_Solutions.png
Bronze,Peninsula Insurance,Bronze/Peninsula_Insurance.png
Bronze,Peninsula Nursery and Garden Centre,Bronze/Peninsula_Nursery_and_Garden_Centre.png
Bronze,Ray White,Bronze/Ray_White.png
Bronze,Rosewarnes Kadina,Bronze/Rosewarnes_Kadina.png
Bronze,Seaside Vet Surgery,Bronze/Seaside_Vet_Surgery.png
Bronze,Steve McDonald Electrical,Bronze/Steve_McDonald_Electrical.png
Bronze,Wallaroo Hotel,Bronze/Wallaroo_Hotel.png
Bronze,Williams Tints and Glass,Bronze/Williams_Tints_and_Glass.jpg
Bronze,Yorke Peninsula Coaches,Bronze/Yorke_Peninsula_Coaches.png
Bronze,Yorke Peninsula Country Times,Bronze/Yorke_Peninsula_Country_Times.png
Bronze,YP Energy Solutions,Bronze/YP_Energy_Solutions.png
Bronze,YP Fire and Safety,Bronze/YP_Fire_and_Safety.png
Bronze,YP Recycling,Bronze/YP_Recycling.png
Club,A1 Auto Car Sales,Club/A1_Auto_Car_Sales.png
Club,AW Vater & Co,Club/AW_Vater_&_Co.png
Club,Butchs Auto Detailing,Club/Butchs_Auto_Detailing.png
Club,Eagle Surf,Club/Eagle_Surf.png
Club,G & J East,Club/G_&_J_East.png
Club,Geoff James Paving & Landscaping,Club/Geoff_James_Paving_&_Landscaping.png
Club,Kadina Mitre 10,Club/Kadina_Mitre_10.png
Club,Murphys Crash & Towing,Club/Murphys_Crash_&_Towing.png
Club,Newbery Chemists Tim Gross & Partners,Club/Newbery_Chemists_Tim_Gross_&_Partners.png
Club,NYP Car Fix Service,Club/NYP_Car_Fix_Service.png
Club,Perrys,Club/Perrys.png
Club,Skinner Family Funerals,Club/Skinner_Family_Funerals.png
Club,The Macs Beachfront Villas,Club/The_Macs_Beachfront_Villas.png
Club,Yorkes Meat & Smallgoods,Club/Yorkes_Meat_&_Smallgoods.png
